C:\Users\lanry\Desktop\kreathief\components\modals\MockupModal.tsx: line 52, col 59, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
C:\Users\lanry\Desktop\kreathief\components\modals\MockupModal.tsx: line 68, col 52, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
C:\Users\lanry\Desktop\kreathief\components\modals\WelcomeModal.tsx: line 72, col 14, Error - `'` can be escaped with `&apos;`, `&lsquo;`, `&#39;`, `&rsquo;`. (react/no-unescaped-entities)
C:\Users\lanry\Desktop\kreathief\components\overlays\CropOverlay.tsx: line 45, col 13, Error - 'deltaX' is assigned a value but never used. Allowed unused vars must match /^_/u. (@typescript-eslint/no-unused-vars)
C:\Users\lanry\Desktop\kreathief\components\panels\ArrangePanel.tsx: line 32, col 35, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
C:\Users\lanry\Desktop\kreathief\components\panels\ArrangePanel.tsx: line 39, col 35, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
C:\Users\lanry\Desktop\kreathief\components\panels\ArrangePanel.tsx: line 46, col 35, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
C:\Users\lanry\Desktop\kreathief\components\panels\ArrangePanel.tsx: line 57, col 35, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
C:\Users\lanry\Desktop\kreathief\components\panels\ArrangePanel.tsx: line 59, col 22, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
C:\Users\lanry\Desktop\kreathief\components\panels\ArrangePanel.tsx: line 62, col 40, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
C:\Users\lanry\Desktop\kreathief\components\panels\ArrangePanel.tsx: line 127, col 50, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
C:\Users\lanry\Desktop\kreathief\components\panels\ArrangePanel.tsx: line 128, col 64, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
C:\Users\lanry\Desktop\kreathief\components\panels\AssetsPanel.tsx: line 53, col 10, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
C:\Users\lanry\Desktop\kreathief\components\panels\AssetsPanel.tsx: line 63, col 6, Warning - React Hook useEffect has a missing dependency: 'handleSearch'. Either include it or remove the dependency array. (react-hooks/exhaustive-deps)
C:\Users\lanry\Desktop\kreathief\components\panels\AssistantPanel.tsx: line 10, col 16, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
C:\Users\lanry\Desktop\kreathief\components\panels\AssistantPanel.tsx: line 31, col 16, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
C:\Users\lanry\Desktop\kreathief\components\panels\AssistantPanel.tsx: line 48, col 23, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
C:\Users\lanry\Desktop\kreathief\components\panels\AssistantPanel.tsx: line 67, col 16, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
C:\Users\lanry\Desktop\kreathief\components\panels\AssistantPanel.tsx: line 85, col 19, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
C:\Users\lanry\Desktop\kreathief\components\panels\AssistantPanel.tsx: line 105, col 20, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
C:\Users\lanry\Desktop\kreathief\components\panels\AssistantPanel.tsx: line 132, col 29, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
C:\Users\lanry\Desktop\kreathief\components\panels\AssistantPanel.tsx: line 135, col 21, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
C:\Users\lanry\Desktop\kreathief\components\panels\AssistantPanel.tsx: line 162, col 10, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
